,n_pos,Tense : ['Imp'],Mood : ['Cnd'],Number : ['Plur'],Number : ['Sing'],n_stem,nb_mot,ratio_stop,sect 4,Gender : ['Masc'],Mood : ['Imp'],sect 6,sect 5,ratio_tok,sect 0,lg_phrase,n_tok,VerbForm : ['Part'],Mood : [],Tense : [],Voice : ['Pass'],Number : [],Tense : ['Fut'],Mood : ['Sub'],Person : [],sect 3,n_stop,mean_par,Voice : [],nb_phrase,ratio_stem,sect 2,Gender : ['Fem'],punct,VerbForm : ['Inf'],VerbForm : ['Fin'],Person : ['3'],Person : ['2'],n_par,Tense : ['Pres'],Mood : ['Ind'],Person : ['1'],sect 1,Tense : ['Past'],Gender : []
Maçonnerie,13,1,0,15,97,378,1119,0.4137622877569258,0,36,0,0,0,0.40035746201966044,0,113.73770491803279,448,86,111,25,5,36,3,0,111,0,463,0.03134839151266256,143,61,0.019817073170731708,0,39,3.2295081967213113,25,37,37,0,9,44,37,0,0,75,73
Maïs,14,19,7,388,709,2755,12653,0.39895676914565714,0,386,1,0,0,0.25116573144708765,0,149.78599221789884,3178,738,916,178,77,296,9,13,916,0,5048,0.08623866129997536,1316,514,0.0018404101485473905,0,255,3.6459143968871595,178,477,469,2,232,533,456,6,0,654,752
Mer,14,2,6,46,103,634,1925,0.42337662337662335,0,36,0,0,0,0.37974025974025977,0,140.1951219512195,731,104,128,25,17,44,3,2,129,0,815,0.11831686901440314,176,82,0.012612612612612612,0,51,2.8536585365853657,24,65,63,0,26,72,57,1,0,91,106
Mer Caspienne,14,4,2,55,143,941,3054,0.41421087098886705,0,53,0,0,0,0.3513425016371971,0,146.98373983739836,1073,122,154,33,12,55,2,3,155,0,1265,0.040360624803438515,241,123,0.00782122905027933,0,48,3.975609756097561,32,99,96,0,40,102,94,2,0,112,152
Mer Méditerranée,15,13,3,97,316,1477,5119,0.39636647782770074,0,93,0,0,0,0.31920296932994724,0,176.26519337016575,1634,299,364,65,12,110,5,6,364,0,2029,0.09047310068553051,511,181,0.004852798447104497,0,162,4.767955801104972,65,159,153,0,117,177,150,6,0,263,268
Mer des Caraïbes,13,1,1,17,37,262,778,0.41773778920308485,0,21,0,0,0,0.38303341902313626,0,244.0,298,36,42,6,3,11,5,3,42,0,325,0.04087471898630697,62,19,0.02869757174392936,0,10,8.052631578947368,6,23,21,0,20,22,19,2,0,31,34
Mercure (planète),15,33,18,268,663,2208,11755,0.40697575499787325,0,229,1,0,0,0.219140791152701,0,165.44044943820225,2576,658,859,201,68,312,11,8,860,0,4784,0.04623966147336026,1175,445,0.002145922746781116,0,324,4.182022471910113,201,384,376,0,125,427,357,7,0,571,690
Mesure physique,15,6,0,45,161,768,2797,0.4054343939935645,0,63,0,0,0,0.3214158026456918,0,142.2,899,131,178,47,16,65,2,2,178,0,1134,0.07838237543984905,255,125,0.009014423076923076,0,51,3.904,47,93,92,0,61,100,91,1,0,116,157
Meuble,14,1,0,55,36,510,1414,0.41725601131541723,0,46,0,0,0,0.41371994342291374,0,145.79661016949152,585,65,84,19,7,27,1,1,84,0,590,0.04278192189556823,111,59,0.016928657799274487,0,11,3.2542372881355934,19,34,32,0,16,39,33,2,0,58,61
Mexico,15,21,0,98,220,1215,3637,0.4206763816332142,0,111,0,0,0,0.37585922463568877,0,125.69101123595506,1367,198,235,37,12,55,7,9,235,0,1530,0.04672584156757662,361,178,0.007115749525616698,0,74,3.264044943820225,37,138,134,0,51,120,129,4,0,188,188
Mexique,15,35,11,278,637,2948,12303,0.4015280825814842,0,359,3,0,0,0.27034056734129885,0,133.1093474426808,3326,572,719,147,35,219,29,12,719,0,4940,0.04784421078827848,1099,567,0.002035002035002035,0,157,3.3544973544973544,147,415,405,3,152,384,389,7,0,539,618
Michael Faraday,15,2,3,14,102,493,1132,0.38515901060070673,0,46,0,0,0,0.4920494699646643,0,134.44230769230768,557,70,90,20,5,31,6,1,90,0,436,0.043162565550625254,142,52,0.021520803443328552,0,14,4.288461538461538,20,57,56,0,6,57,53,1,0,62,87
Michael Jackson,15,52,7,234,1018,3139,14250,0.39017543859649123,0,512,1,0,0,0.24842105263157896,0,142.29478827361564,3540,918,1161,244,52,401,20,14,1162,0,5560,0.0391764462764974,1601,614,0.0017255262855170826,0,268,4.405537459283388,243,492,480,1,109,540,470,10,0,797,873
Michel-Ange,14,7,2,38,296,1340,3803,0.3904811990533789,0,101,1,0,0,0.38127793846962926,0,155.21333333333334,1450,204,265,61,19,96,18,3,265,0,1485,0.09346370005389175,411,150,0.00603708495040966,0,72,4.886666666666667,61,165,160,1,93,165,159,4,0,179,257
Microscopie,12,0,3,12,18,178,418,0.3397129186602871,0,12,0,0,0,0.5454545454545454,0,146.65,228,17,37,20,2,24,0,1,37,0,142,0.09236826165960024,52,20,0.043478260869565216,0,2,3.55,20,17,17,0,9,19,13,0,0,15,40
Miguel de Cervantes,15,33,7,121,407,1784,6142,0.41387170302832954,0,217,0,0,0,0.32644089873005533,0,127.51186440677967,2005,355,457,102,25,152,9,2,457,0,2542,0.013448731569536939,655,295,0.004165509580672035,0,100,3.623728813559322,102,223,214,3,43,198,214,6,0,338,363
Mine (gisement),14,13,5,98,182,1188,3428,0.397607934655776,0,85,0,0,0,0.3929404900816803,0,142.30519480519482,1347,164,234,70,20,99,7,4,234,0,1363,0.11403508771929824,359,154,0.006779661016949152,0,55,4.298701298701299,70,145,141,0,66,145,136,4,0,144,239
Minéral,13,1,2,21,38,397,861,0.35423925667828104,0,23,0,0,0,0.5331010452961672,0,178.3030303030303,459,40,51,11,4,20,0,2,51,0,305,0.13802045814724104,75,33,0.02333931777378815,0,8,5.848484848484849,11,28,27,0,32,36,24,1,0,31,48
Mississippi (fleuve),15,13,4,158,367,1743,6428,0.42034847542003734,0,160,3,0,0,0.30242688238954574,0,126.29354838709678,1944,302,383,81,10,127,8,7,383,0,2702,0.03860975787100996,642,310,0.004022526146419952,0,101,3.467741935483871,81,269,261,4,80,271,255,4,0,279,391
Modernisme,6,0,0,0,2,21,28,0.21428571428571427,0,0,0,0,0,0.9285714285714286,0,66.33333333333333,26,2,2,0,0,1,0,0,2,0,6,0.12,3,3,0.2727272727272727,0,1,4.666666666666667,0,1,0,0,2,2,1,1,0,1,2
Modèle standard de la physique des particules,14,9,3,51,83,620,1901,0.39137296159915835,0,43,0,0,0,0.3819042609153077,0,148.63855421686748,726,88,118,30,6,48,0,0,118,0,744,0.062351013110846246,176,83,0.012100259291270527,0,33,3.9879518072289155,30,64,63,0,28,63,61,1,0,80,106
Mohandas Karamchand Gandhi,15,108,14,186,726,2752,10595,0.40943841434638983,0,358,1,0,0,0.30023596035865974,0,155.34772182254196,3181,599,880,281,35,402,16,11,880,0,4338,0.40899413622011727,1279,417,0.0023957834211787254,0,132,5.019184652278177,281,434,422,3,107,384,408,9,0,525,824
Molière,15,71,17,218,1006,3247,14394,0.40516882034180907,0,390,4,0,0,0.2564957621231069,0,148.57849829351537,3692,792,1079,287,52,415,43,7,1079,0,5832,0.01783425291199911,1587,586,0.0017500875043752187,0,298,4.660409556313994,287,560,543,5,119,523,532,12,0,715,951
Molécule,14,1,0,35,52,458,1200,0.36916666666666664,0,30,0,0,0,0.445,0,152.66666666666666,534,69,85,16,4,28,0,1,85,0,443,0.0910373263888889,111,54,0.018494055482166448,0,29,4.037037037037037,16,30,30,0,31,39,29,0,0,59,56
Monarchie,15,8,1,39,126,792,2319,0.39801638637343684,0,82,0,0,0,0.3868046571798189,0,188.75,897,137,176,39,8,65,0,1,176,0,923,0.0854744018685689,222,76,0.01072961373390558,0,32,5.157894736842105,39,54,54,0,35,65,52,0,0,118,116
Mondialisation,15,20,8,218,391,2192,8276,0.3842435959400677,0,182,1,0,0,0.3021991300144998,0,172.50310559006212,2501,350,456,106,30,164,6,4,456,0,3180,0.041699422360460744,743,322,0.0029417532849578347,0,115,4.717391304347826,106,317,310,0,77,333,304,7,0,308,476
Monnaie,14,28,9,170,434,2003,7418,0.3936370989485036,0,138,0,0,0,0.31153949851712054,0,147.4875,2311,315,451,136,33,194,14,8,451,0,2920,0.06396442285087375,765,320,0.003111802622805068,0,125,3.928125,136,347,340,1,70,345,330,6,0,275,535
Montagne,15,11,2,230,396,2701,8798,0.4013412139122528,0,192,0,0,0,0.3373493975903614,0,164.52601156069363,2968,425,555,130,20,216,13,3,555,0,3531,0.24654982421157579,822,346,0.0028457598178713715,0,152,5.104046242774566,130,287,276,0,115,338,282,11,0,350,498
Montagnes Rocheuses,14,1,2,42,62,528,1250,0.3552,0,29,0,0,0,0.476,0,138.41666666666666,595,59,84,25,5,35,1,0,84,0,444,0.020113940239507033,134,60,0.01734820322180917,0,20,4.4,25,55,54,0,10,61,53,1,0,51,90
Mort,15,9,0,75,259,1267,4209,0.39154193395105724,0,100,1,0,0,0.3447374673319078,0,121.66502463054188,1451,181,271,90,19,114,18,3,271,0,1648,0.05940816862318569,429,203,0.00585480093676815,0,60,4.187192118226601,90,177,175,1,62,167,173,1,0,164,288
Moscou,15,23,1,153,471,2004,7563,0.4003702234563004,0,236,0,0,0,0.2977654369959011,0,140.9020771513353,2252,440,519,79,25,146,7,5,519,0,3028,0.488643620418068,745,337,0.003304692663582287,0,139,3.397626112759644,79,251,243,0,143,270,245,8,0,391,395
Mot,14,2,1,20,61,328,820,0.3646341463414634,0,26,0,0,0,0.47560975609756095,0,135.28205128205127,390,42,65,23,9,30,6,0,65,0,299,0.10739260739260739,102,39,0.02681992337164751,0,9,5.512820512820513,23,46,46,0,15,44,45,0,0,36,76
Moteur,13,0,2,20,59,322,893,0.3628219484882419,0,22,0,0,0,0.425531914893617,0,129.2340425531915,380,54,71,17,6,27,2,4,71,0,324,0.05407463823305408,100,47,0.022847100175746926,0,22,4.361702127659575,17,35,35,0,8,42,29,0,0,45,62
Moteur à combustion interne,8,0,0,1,8,45,93,0.27956989247311825,0,4,0,0,0,0.5806451612903226,0,131.0,54,7,10,3,0,4,0,0,10,0,26,0.1639751552795031,13,5,0.11940298507462686,0,2,4.8,3,3,3,0,4,3,3,0,0,7,7
Moteur à réaction,13,1,0,31,70,438,1160,0.4043103448275862,0,23,0,0,0,0.42758620689655175,0,168.72727272727272,496,77,94,17,10,37,3,0,94,0,469,0.15559048046699595,128,44,0.01881331403762663,0,34,4.431818181818182,17,44,44,0,36,59,44,0,0,58,81
Mouvement (mécanique),9,0,0,5,24,85,226,0.3407079646017699,0,11,0,0,0,0.43805309734513276,0,230.0,99,17,17,0,0,2,2,1,17,0,77,0.06651376146788991,31,7,0.06040268456375839,0,5,4.857142857142857,0,14,13,0,4,13,13,1,0,16,15
Mouvement américain des droits civiques,16,57,6,414,924,3437,17366,0.4050443395139929,0,461,0,0,0,0.23131406196015203,0,215.3081395348837,4017,825,1307,482,56,644,39,27,1307,0,7034,0.1267612223097256,1926,516,0.0015461925009663702,0,220,5.686046511627907,482,675,666,0,73,681,642,9,0,723,1301
Mouvement international de la Croix-Rouge et du Croissant-Rouge,14,3,2,27,61,393,1153,0.42671292281006074,0,28,0,0,0,0.40763226366001737,0,177.97619047619048,470,58,89,31,4,44,0,2,89,0,492,0.010954616588419406,128,42,0.02118003025718608,0,18,4.523809523809524,31,43,42,0,3,47,39,1,0,51,86
Moyen-Orient,15,8,5,88,187,1129,3644,0.40422612513721184,0,121,1,0,0,0.3468715697036224,0,168.06428571428572,1264,182,216,34,10,56,4,4,216,0,1473,0.039039522984569516,321,140,0.006902899217671422,0,43,4.892857142857143,34,115,109,1,34,117,105,5,0,168,167
Moyen Âge,14,25,0,107,201,1233,3887,0.4031386673527142,0,96,0,0,0,0.3581167995883715,0,197.42635658914728,1392,210,253,43,16,75,2,6,253,0,1567,0.5868112043554596,367,129,0.00603448275862069,0,85,4.27906976744186,43,130,127,0,108,115,124,3,0,198,202
Moïse,14,17,7,124,581,2102,7678,0.3793956759572805,0,266,0,0,0,0.3059390466267257,0,187.04819277108433,2349,469,605,136,27,235,6,9,605,0,2913,0.030074722371300003,913,249,0.002938090241343127,0,106,5.281124497991968,136,335,324,3,64,397,319,8,0,384,568
Multiplication,14,3,0,45,161,490,2171,0.3786273606632888,0,74,0,0,0,0.26485490557346847,0,154.6219512195122,575,120,165,45,13,64,0,4,165,0,822,0.042826232932925465,257,82,0.010332103321033211,0,30,4.841463414634147,45,105,99,0,47,116,101,6,0,106,166
Muscle,14,1,1,56,68,582,1679,0.395473496128648,0,31,0,0,0,0.39189994044073856,0,130.6206896551724,658,65,90,25,8,34,2,2,90,0,664,0.15610113594723343,150,87,0.013793103448275862,0,26,2.632183908045977,25,68,65,0,69,70,65,3,0,60,101
Musique,14,23,5,154,402,1835,7252,0.40857694429123,0,147,0,0,0,0.2937120794263651,0,133.17261904761904,2130,335,487,152,54,201,6,2,487,0,2963,0.09211185727172497,703,336,0.0032634032634032634,0,146,3.318452380952381,152,270,264,3,115,269,263,3,0,307,464
Musique classique,14,9,1,22,65,491,1173,0.36231884057971014,0,19,0,0,0,0.4859335038363171,0,162.53191489361703,570,55,78,23,5,33,1,2,78,0,425,0.05406066536203522,115,47,0.01871657754010695,0,26,4.723404255319149,23,42,42,0,10,41,39,0,0,46,75
Musique folk,14,5,2,32,96,605,1546,0.37710219922380334,0,58,0,0,0,0.44695989650711515,0,172.44642857142858,691,87,110,23,8,35,4,0,110,0,583,0.08002259461495011,155,56,0.014522821576763486,0,19,4.982142857142857,23,53,50,0,19,53,51,3,0,78,86
Musée,15,17,3,218,432,1970,6644,0.3973509933774834,0,171,0,0,0,0.33729680915111376,0,192.94930875576037,2241,467,604,137,31,172,13,3,604,0,2640,0.038300200620098486,791,217,0.003745318352059925,0,265,6.059907834101383,137,218,212,0,42,209,212,6,0,446,386
Mystique,15,11,0,65,322,1262,4715,0.39003181336161186,0,127,0,0,0,0.30943796394485684,0,160.39226519337018,1459,252,339,87,21,132,5,8,339,0,1839,0.03371821441494786,498,181,0.005211952744961779,0,87,4.823204419889502,87,180,176,0,50,192,172,4,0,224,305
Mythologie,16,21,5,196,375,1871,7351,0.39151135899877565,0,175,0,0,0,0.2950618963406339,0,202.98333333333332,2169,362,507,146,38,200,8,2,508,0,2878,0.08416460015289094,733,240,0.0035714285714285713,0,138,5.920833333333333,145,264,254,0,77,275,257,9,0,321,458
Mâle,14,0,1,4,36,202,522,0.3831417624521073,0,17,0,0,0,0.4616858237547893,0,139.04166666666666,241,29,35,6,1,12,2,0,35,0,200,0.10491717065474625,51,24,0.043478260869565216,0,6,3.7916666666666665,6,17,16,0,11,19,16,1,0,25,29
Mécanique newtonienne,13,5,1,18,44,250,717,0.39191073919107394,0,20,0,0,0,0.42677824267782427,0,250.47368421052633,306,33,46,13,1,15,1,0,46,0,281,0.07127638969591323,76,19,0.02981651376146789,0,12,5.947368421052632,13,31,31,0,6,25,30,0,0,33,45
Mécanique quantique,15,14,3,128,501,1736,8281,0.3706074145634585,0,193,1,0,0,0.24139596667069194,0,146.03674540682414,1999,381,510,129,34,197,13,4,510,0,3069,0.04094919172516956,792,381,0.002874664622460713,0,125,4.68241469816273,129,316,310,0,102,340,308,6,0,330,508
Médecin,14,0,0,34,89,559,1608,0.4154228855721393,0,36,0,0,0,0.39925373134328357,0,154.06153846153848,642,70,112,42,6,52,0,1,112,0,668,0.04499342476047342,169,65,0.014861995753715499,0,26,3.7384615384615385,42,63,62,0,16,68,62,1,0,65,113
Médecine,15,3,3,70,130,1144,3345,0.40298953662182363,0,56,0,0,0,0.38714499252615847,0,204.00884955752213,1295,137,174,38,10,69,8,1,175,0,1348,0.03886896665430114,259,113,0.0075075075075075074,0,51,5.672566371681416,37,95,91,1,39,108,91,2,0,112,162
Médias de masse,13,0,1,16,72,462,1133,0.4077669902912621,0,23,0,0,0,0.45719329214474846,0,177.14285714285714,518,59,88,29,4,35,1,0,88,0,462,0.10121602288984263,119,42,0.019345238095238096,0,30,4.738095238095238,29,35,34,0,20,38,34,1,0,55,70
Médicament,15,6,4,201,287,1458,5936,0.3881401617250674,0,153,0,0,0,0.2922843665768194,0,163.8724279835391,1735,319,445,126,52,170,12,3,445,0,2304,0.11014870627748194,606,243,0.0041265474552957355,0,130,3.9176954732510287,126,213,211,0,150,225,206,2,0,289,375
Méditation,14,6,4,79,197,1163,3606,0.4043261231281198,0,86,0,0,0,0.36910704381586246,0,179.66412213740458,1331,203,285,82,11,131,10,2,285,0,1458,0.04431166539679993,396,131,0.006517690875232775,0,69,4.366412213740458,82,122,120,0,45,147,116,2,0,162,252
Méningite,14,0,2,89,306,1306,4893,0.37952176578786023,0,110,0,0,0,0.3020641733088085,0,149.4660633484163,1478,257,352,95,33,138,1,9,352,0,1857,0.05725740421807504,500,221,0.004609812314784327,0,111,3.9004524886877827,95,181,180,0,48,204,170,1,0,233,312
Mésopotamie,14,34,11,409,682,2708,13788,0.39643167972149695,0,330,1,0,0,0.2344067304902814,0,211.84470588235294,3232,746,935,189,72,366,10,7,935,0,5466,0.2599150199401388,1385,425,0.001682085786375105,0,257,5.444705882352941,189,522,506,2,266,621,503,14,0,603,870
Métal,14,2,5,156,230,1473,6043,0.39682277014727785,0,136,0,0,0,0.27751116994870095,0,194.24878048780488,1677,240,319,79,37,118,1,6,319,0,2398,0.05503573443671243,467,205,0.0038398244651673065,0,69,5.307317073170732,79,185,184,0,89,210,174,1,0,212,299
Métallurgie,14,6,4,42,115,685,2050,0.40439024390243905,0,54,0,0,0,0.3829268292682927,0,138.2688172043011,785,101,154,53,5,69,3,0,154,0,829,0.08931063354730673,221,93,0.011466011466011465,0,34,4.344086021505376,53,72,69,0,34,75,68,3,0,89,138
Métaphysique,15,12,5,68,288,1066,4509,0.4156132180084276,0,100,0,0,0,0.27478376580172986,0,133.62694300518135,1239,227,349,122,26,168,15,1,349,0,1874,0.04029330889092576,498,193,0.005677517032551098,0,85,3.4922279792746114,122,175,172,0,30,184,169,3,0,191,339
Méthode scientifique,15,10,10,94,312,1326,5012,0.3830806065442937,0,91,0,0,0,0.31344772545889865,0,169.22222222222223,1571,224,389,165,27,205,5,4,389,0,1920,0.08069985080699851,584,198,0.004843396835647401,0,98,4.686868686868687,165,222,217,0,66,234,208,5,0,197,422
Météorologie,15,5,6,138,192,1420,4850,0.41484536082474227,0,100,0,0,0,0.3325773195876289,0,151.37073170731708,1613,189,269,81,18,111,3,9,270,0,2012,0.01850289107673074,423,205,0.0052835505459668895,0,65,3.4682926829268292,80,172,162,1,32,178,157,8,0,174,276
Nanotechnologie,15,11,11,187,245,1608,6268,0.4097000638162093,0,151,0,0,0,0.30360561582641993,0,175.4394618834081,1903,284,406,122,27,170,3,3,406,0,2568,0.06858771971160643,575,223,0.0040453074433656954,0,89,3.3632286995515694,122,196,194,0,94,218,182,2,0,248,362
Napoléon Ier,15,51,14,296,1257,4076,18296,0.40008745080892,0,527,2,0,0,0.2533340620900743,0,126.23033067274801,4635,984,1398,416,65,582,56,25,1400,0,7320,0.035645844612304176,2070,877,0.001363760341849259,0,308,3.7388825541619157,414,737,724,2,148,739,696,9,0,873,1300
Nationalisme,14,28,4,197,427,2304,8308,0.3781896966779008,0,187,0,0,0,0.3199325950890708,0,215.0346153846154,2658,376,509,134,24,210,24,1,510,0,3142,0.08493075151633096,810,260,0.0027095026127346624,0,118,5.769230769230769,133,325,320,0,102,332,320,4,0,316,529
Nature,15,13,4,60,291,1335,4695,0.4,0,86,0,0,0,0.324174653887114,0,147.24752475247524,1522,203,269,66,19,97,5,5,269,0,1878,0.05267632241813602,429,202,0.005311614730878187,0,89,4.252475247524752,66,179,176,0,46,184,170,3,0,180,273
Navette spatiale américaine,16,31,8,384,994,2676,15624,0.4066820276497696,0,411,2,0,0,0.2005888376856119,0,161.31045751633988,3134,932,1382,450,102,591,18,22,1382,0,6354,0.022463313191556148,1867,612,0.0017258116708014238,0,401,4.0473856209150325,450,587,577,2,128,642,555,8,0,828,1157
Navigation,14,1,1,22,21,248,651,0.423963133640553,0,15,0,0,0,0.45161290322580644,0,143.93333333333334,294,31,42,11,2,16,0,0,42,0,276,0.10047160139429978,57,30,0.037333333333333336,0,13,3.4,11,17,17,0,12,19,16,0,0,28,31
Navire,11,1,0,21,12,211,501,0.3932135728542914,0,17,0,0,0,0.5029940119760479,0,154.4090909090909,252,25,35,10,1,15,0,0,35,0,197,0.06205962059620596,47,22,0.03618421052631579,0,3,3.772727272727273,10,13,13,0,8,16,13,0,0,21,28
Nelson Mandela,15,38,6,292,1019,3544,16093,0.3912259988815013,0,506,0,0,0,0.247871745479401,0,169.8597972972973,3989,817,1167,350,43,491,25,23,1167,0,6296,0.01692289819153468,1759,592,0.0015310809431458609,0,189,4.621621621621622,350,635,614,0,99,664,606,21,0,725,1107
Neptune (planète),16,21,10,198,441,1810,8100,0.401358024691358,0,175,0,0,0,0.25555555555555554,0,153.93617021276594,2070,412,529,117,32,184,9,7,529,0,3251,0.016561953618844504,791,329,0.003296250515039143,0,174,3.951367781155015,117,294,288,0,53,316,277,6,0,360,474
Neutrino,15,13,10,106,212,1060,4445,0.4267716535433071,0,122,1,0,0,0.28053993250843645,0,153.12290502793297,1247,221,311,90,22,137,7,5,312,0,1897,0.06157277550606603,433,179,0.0058823529411764705,0,61,3.2737430167597767,90,144,142,0,51,157,128,1,0,188,272
Neutron,13,4,1,48,92,540,1728,0.3975694444444444,0,47,0,0,0,0.3744212962962963,0,146.22666666666666,647,86,110,24,15,45,3,0,110,0,687,0.07995365005793743,170,75,0.012476007677543186,0,21,3.5866666666666664,24,75,73,1,24,82,74,1,0,72,117
New Delhi,13,6,2,42,126,814,2249,0.3948421520675856,0,55,0,0,0,0.3988439306358382,0,149.41935483870967,897,109,134,25,7,39,2,2,134,0,888,0.012146317489292987,200,93,0.009551800146950772,0,40,4.397849462365591,25,73,73,0,10,74,69,0,0,100,112
New York,15,31,11,331,862,3444,15581,0.3879725306463,0,389,0,0,0,0.2510108465438675,0,148.36712749615975,3911,706,917,212,47,292,23,16,918,0,6045,0.13390467412304802,1438,651,0.0015726567414552316,0,256,4.164362519201229,211,568,559,1,229,545,541,7,0,674,840
Nicolas Copernic,15,9,5,79,254,1350,4405,0.3968217934165721,0,113,1,0,0,0.3409761634506243,0,122.93449781659389,1502,215,306,91,22,129,7,3,306,0,1748,0.07526010436586393,440,229,0.005632745024408562,0,72,4.139737991266376,91,156,151,1,65,156,147,4,0,199,277
Niels Bohr,15,6,3,51,220,1040,3692,0.3959913326110509,0,66,0,0,0,0.3187973997833153,0,173.54887218045113,1177,158,216,58,15,86,0,3,216,0,1462,0.03433724971040874,342,133,0.006723442402510085,0,69,4.030075187969925,58,141,140,0,28,157,135,1,0,136,222
Nigeria,14,4,4,83,216,1254,4092,0.3993157380254154,0,138,0,0,0,0.34750733137829914,0,158.1761006289308,1422,230,284,54,18,91,4,4,284,0,1634,0.028090961207720238,372,159,0.005695687550854353,0,62,4.232704402515723,54,106,104,0,36,125,98,2,0,203,190
Nikola Tesla,15,21,4,153,671,2437,10067,0.39058309327505714,0,296,0,0,0,0.2742624416410053,0,145.6518691588785,2761,550,837,287,43,418,15,11,837,0,3932,0.010108461912759579,1199,428,0.002444190972788007,0,136,3.9766355140186915,287,405,397,0,26,475,390,8,0,444,810
Nil,15,18,3,70,243,1160,3924,0.39475025484199794,0,145,2,0,0,0.3318042813455658,0,108.41666666666667,1302,244,311,67,14,121,7,2,312,0,1549,0.052740352132268194,420,216,0.006278777731268313,0,50,3.3472222222222223,67,123,116,1,41,139,116,5,0,203,239
Noisette,14,3,1,67,101,749,2329,0.40618291112065263,0,55,0,0,0,0.36410476599398883,0,118.31932773109244,848,122,148,27,9,53,1,2,149,0,946,0.09690020161290322,212,119,0.01012292118582791,0,41,2.7815126050420167,26,73,71,0,72,94,70,1,0,96,125
Nom personnel,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
Nombre,14,2,1,47,80,571,1953,0.40040962621607784,0,46,0,0,0,0.34767025089605735,0,157.97260273972603,679,83,118,35,12,46,3,0,118,0,782,0.03418944586671071,161,73,0.011945392491467578,0,27,2.9315068493150687,35,55,55,0,20,59,54,0,0,74,100
Nombre complexe,14,3,3,72,278,1019,4544,0.3785211267605634,0,89,0,0,0,0.2581426056338028,0,181.15432098765433,1173,164,238,74,17,99,4,3,238,0,1720,0.03345809601301872,432,162,0.00494874513962531,0,54,4.814814814814815,74,211,205,0,40,221,205,6,0,147,306
Nombre d'or,15,8,4,128,485,1754,8677,0.40071453267258267,0,133,2,0,0,0.2310706465368215,0,124.0925925925926,2005,324,446,122,31,179,8,15,447,0,3477,0.022354022822736203,761,432,0.002865876958349255,0,137,3.9930555555555554,122,346,335,1,63,373,325,9,0,281,522
Nombre premier,15,3,1,82,248,983,4586,0.39315307457479287,0,121,0,0,0,0.2566506759703445,0,176.04848484848486,1177,228,318,90,19,134,2,5,318,0,1803,0.06582584109031991,445,165,0.005385996409335727,0,68,4.545454545454546,90,146,145,0,72,170,140,1,0,199,275
Nombre rationnel,14,1,0,15,46,297,871,0.3811710677382319,0,11,0,0,0,0.4052812858783008,0,133.1904761904762,353,31,50,19,0,24,1,0,50,0,332,0.02423096752019247,85,42,0.025974025974025976,0,15,4.285714285714286,19,35,34,0,5,38,35,1,0,26,59
Nombre réel,15,9,2,99,298,1045,4539,0.37937871777924653,0,105,0,0,0,0.274069178233091,0,126.43103448275862,1244,204,284,81,16,113,6,4,285,0,1722,0.035191852356394535,494,232,0.005309734513274336,0,72,3.7543103448275863,80,226,220,1,36,232,220,4,0,182,333
Nourrisson,12,3,0,19,46,349,905,0.4176795580110497,0,19,0,0,0,0.456353591160221,0,109.08163265306122,413,34,65,31,4,41,3,0,65,0,378,0.03512506652474721,102,49,0.022770398481973434,0,5,2.795918367346939,31,41,41,0,6,43,41,0,0,26,82
